Iteration,Using Garbage Collector,Without Garbage Collector,Difference,,Slope of Column B over a linear regression,Slope of Column C over a linear regression,
1,0.081454039,0.018085003,0.063369036,,2.79184E-05,2.34818E-05,
2,0.078062057,0.016845703,0.061216354,,,,
3,0.073815823,0.017248154,0.056567669,,,,
4,0.081874847,0.016814947,0.0650599,,,,
5,0.080203056,0.021334648,0.058868408,,,,
6,0.078271866,0.018224239,0.060047626,,,,
7,0.081979752,0.018744946,0.063234806,,,,
8,0.080635071,0.020281792,0.060353279,,,,
9,0.078060865,0.021456242,0.056604624,,,,
10,0.081171036,0.020320892,0.060850143,,,,
11,0.073642015,0.025039911,0.048602104,,,,
12,0.081418276,0.030045033,0.051373243,,,,
13,0.082925081,0.02372098,0.059204102,,,,
14,0.078172922,0.032956839,0.045216084,,,,
15,0.073607922,0.02543807,0.048169851,,,,
16,0.080867052,0.021116972,0.05975008,,,,
17,0.081552982,0.018435001,0.063117981,,,,
18,0.08041811,0.019407272,0.061010838,,,,
19,0.079550982,0.021498919,0.058052063,,,,
20,0.082696915,0.024735928,0.057960987,,,,
21,0.076934814,0.036005974,0.040928841,,,,
22,0.084834099,0.02349782,0.061336279,,,,
23,0.079513788,0.024588823,0.054924965,,,,
24,0.079180002,0.027086258,0.052093744,,,,
25,0.079924822,0.026473999,0.053450823,,,,
26,0.076688766,0.033088923,0.043599844,,,,
27,0.083448172,0.021979332,0.06146884,,,,
28,0.084777117,0.033536196,0.051240921,,,,
29,0.079071999,0.019434929,0.05963707,,,,
30,0.076811075,0.019484043,0.057327032,,,,
31,0.081401825,0.019053936,0.062347889,,,,
32,0.073497772,0.019928694,0.053569078,,,,
33,0.077763081,0.01834178,0.059421301,,,,
34,0.077818871,0.018658161,0.059160709,,,,
35,0.076590776,0.019076109,0.057514668,,,,
36,0.078797817,0.019367218,0.059430599,,,,
37,0.085000992,0.018718004,0.066282988,,,,
38,0.074400902,0.018833876,0.055567026,,,,
39,0.075870991,0.020819902,0.055051088,,,,
40,0.077381134,0.021834373,0.055546761,,,,
41,0.076014757,0.02008605,0.055928707,,,,
42,0.078730106,0.021225929,0.057504177,,,,
43,0.084726095,0.018347025,0.06637907,,,,
44,0.07694006,0.02087903,0.056061029,,,,
45,0.083859921,0.018566132,0.065293789,,,,
46,0.083902121,0.019334793,0.064567327,,,,
47,0.083566904,0.018269062,0.065297842,,,,
48,0.083418131,0.019607067,0.063811064,,,,
49,0.086545944,0.017843962,0.068701982,,,,
50,0.082046986,0.021323204,0.060723782,,,,
51,0.084686995,0.019230843,0.065456152,,,,
52,0.080528021,0.019044161,0.06148386,,,,
53,0.084477186,0.017588377,0.066888809,,,,
54,0.093328238,0.017825842,0.075502396,,,,
55,0.095277071,0.018046141,0.07723093,,,,
56,0.090239048,0.017364979,0.072874069,,,,
57,0.089556932,0.01761508,0.071941853,,,,
58,0.08839488,0.017702103,0.070692778,,,,
59,0.090144157,0.017635107,0.07250905,,,,
60,0.08767581,0.017534971,0.070140839,,,,
61,0.090392828,0.017628193,0.072764635,,,,
62,0.08878994,0.022825956,0.065963984,,,,
63,0.088310003,0.019278765,0.069031239,,,,
64,0.079756021,0.018542051,0.06121397,,,,
65,0.079917908,0.018754005,0.061163902,,,,
66,0.076943159,0.017869234,0.059073925,,,,
67,0.081869125,0.018091202,0.063777924,,,,
68,0.077695131,0.018199921,0.059495211,,,,
69,0.077266932,0.017665863,0.059601068,,,,
70,0.086685896,0.017798901,0.068886995,,,,
71,0.11675787,0.017847061,0.098910809,,,,
72,0.102209091,0.01769495,0.084514141,,,,
73,0.07460475,0.018028021,0.056576729,,,,
74,0.078861237,0.021394968,0.057466269,,,,
75,0.08277297,0.018769026,0.064003944,,,,
76,0.082098007,0.018382072,0.063715935,,,,
77,0.078473091,0.018697977,0.059775114,,,,
78,0.077414751,0.018131018,0.059283733,,,,
79,0.078382015,0.018129826,0.06025219,,,,
80,0.075294256,0.017953157,0.057341099,,,,
81,0.080556154,0.020406008,0.060150146,,,,
82,0.079560995,0.018127918,0.061433077,,,,
83,0.081014872,0.018000841,0.06301403,,,,
84,0.083858967,0.019927025,0.063931942,,,,
85,0.086289883,0.020168066,0.066121817,,,,
86,0.084274769,0.018392086,0.065882683,,,,
87,0.082013845,0.01793313,0.064080715,,,,
88,0.074696779,0.018226862,0.056469917,,,,
89,0.078895092,0.020451069,0.058444023,,,,
90,0.084555864,0.018659115,0.065896749,,,,
91,0.077351809,0.022530079,0.05482173,,,,
92,0.078721046,0.020027876,0.058693171,,,,
93,0.083542824,0.018284082,0.065258741,,,,
94,0.080713987,0.018614054,0.062099934,,,,
95,0.075503826,0.020732164,0.054771662,,,,
96,0.088777065,0.020507097,0.068269968,,,,
97,0.079214096,0.018501282,0.060712814,,,,
98,0.080362082,0.018229961,0.06213212,,,,
99,0.082207918,0.018335104,0.063872814,,,,
100,0.075623989,0.018767834,0.056856155,,,,
101,0.078090906,0.018102884,0.059988022,,,,
102,0.089261055,0.018544912,0.070716143,,,,
103,0.076977968,0.018397331,0.058580637,,,,
104,0.08235383,0.018851757,0.063502073,,,,
105,0.083544254,0.021459818,0.062084436,,,,
106,0.078187943,0.020931005,0.057256937,,,,
107,0.078432083,0.021522999,0.056909084,,,,
108,0.08789587,0.018445015,0.069450855,,,,
109,0.078832865,0.018629074,0.060203791,,,,
110,0.07568717,0.018195868,0.057491302,,,,
111,0.086043119,0.018815994,0.067227125,,,,
112,0.087494135,0.018746853,0.068747282,,,,
113,0.078645945,0.018802881,0.059843063,,,,
114,0.085564375,0.01946187,0.066102505,,,,
115,0.084092855,0.019059896,0.065032959,,,,
116,0.094045877,0.018541098,0.07550478,,,,
117,0.084531784,0.020165205,0.064366579,,,,
118,0.079963207,0.021892071,0.058071136,,,,
119,0.081688166,0.018823862,0.062864304,,,,
120,0.082058907,0.018511295,0.063547611,,,,
121,0.080260992,0.018581867,0.061679125,,,,
122,0.082366943,0.01891017,0.063456774,,,,
123,0.084436178,0.019434929,0.065001249,,,,
124,0.080427885,0.01889801,0.061529875,,,,
125,0.091183186,0.018770218,0.072412968,,,,
126,0.080672026,0.018991947,0.061680079,,,,
127,0.084912777,0.018440962,0.066471815,,,,
128,0.080920219,0.020784855,0.060135365,,,,
129,0.086581945,0.021870852,0.064711094,,,,
130,0.085650921,0.019150257,0.066500664,,,,
131,0.083000898,0.019128084,0.063872814,,,,
132,0.083130121,0.021056175,0.062073946,,,,
133,0.081073761,0.021773815,0.059299946,,,,
134,0.084611893,0.020584822,0.064027071,,,,
135,0.085404158,0.021888018,0.06351614,,,,
136,0.085811853,0.020783901,0.065027952,,,,
137,0.082682848,0.020693064,0.061989784,,,,
138,0.089271069,0.022439241,0.066831827,,,,
139,0.082191944,0.02184701,0.060344934,,,,
140,0.082706928,0.022727013,0.059979916,,,,
141,0.084008217,0.021895885,0.062112331,,,,
142,0.080979824,0.021150827,0.059828997,,,,
143,0.081872225,0.021957159,0.059915066,,,,
144,0.088572979,0.019824028,0.068748951,,,,
145,0.084129095,0.019427061,0.064702034,,,,
146,0.083689928,0.019315958,0.06437397,,,,
147,0.082749367,0.019046068,0.063703299,,,,
148,0.079568148,0.021450043,0.058118105,,,,
149,0.085192919,0.020684004,0.064508915,,,,
150,0.082284689,0.019238949,0.06304574,,,,
151,0.083033085,0.019294977,0.063738108,,,,
152,0.080888033,0.019073009,0.061815023,,,,
153,0.08643198,0.019396305,0.067035675,,,,
154,0.081809759,0.019354105,0.062455654,,,,
155,0.0834167,0.019351244,0.064065456,,,,
156,0.085575819,0.021483183,0.064092636,,,,
157,0.080544949,0.019680977,0.060863972,,,,
158,0.084231138,0.02295804,0.061273098,,,,
159,0.087249041,0.024706602,0.062542439,,,,
160,0.08633709,0.019732952,0.066604137,,,,
161,0.082896233,0.020871162,0.06202507,,,,
162,0.082345963,0.020485878,0.061860085,,,,
163,0.079025745,0.021456957,0.057568789,,,,
164,0.084742308,0.020335674,0.064406633,,,,
165,0.082842112,0.020533085,0.062309027,,,,
166,0.079903126,0.022661924,0.057241201,,,,
167,0.087671041,0.022568941,0.0651021,,,,
168,0.086848021,0.023474216,0.063373804,,,,
169,0.07968998,0.020554781,0.059135199,,,,
170,0.08197403,0.020422935,0.061551094,,,,
171,0.081029892,0.019864082,0.06116581,,,,
